지역,시,구,동,방,화장실,주방,거실,전용 면적,건물 유형,엘리베이터,주차 여부,임대료(1주),관리비용,청소비용,보증금,계약일수,총일수,예약률
경상남도,창원시,진해구,용원동, 2, 1, 1, 1,17,복층오피스텔,있음,무료주차(선착순),"300,000","50,000","30,000","330,000",18,104,0.173
서울특별시,강동구,성내동,, 3, 2, 1, 1,16,연립빌라,있음,무료주차(선착순),"800,000","100,000","100,000","330,000",23,104,0.221
서울특별시,금천구,가산동,, 1, 1, 1, 1,8,복층오피스텔,있음,유료주차,"290,000","70,000","60,000","330,000",78,104,0.75
경기도,하남시,망월동,, 1, 1, 1, 0,7,오피스텔,있음,유료주차,"270,000","70,000","50,000","330,000",104,104,1
경기도,성남시,분당구,서현동, 1, 1, 1, 0,8,오피스텔,있음,무료주차(여유),"450,000","60,000","30,000","330,000",0,104,0
경기도,성남시,분당구,서현동, 1, 1, 1, 0,10,오피스텔,있음,무료주차(여유),"400,000","60,000","30,000","330,000",31,104,0.298
충청남도,천안시,서북구,성정동, 1, 1, 0, 1,10,오피스텔,있음,무료주차(여유),"200,000","50,000","30,000","330,000",59,104,0.567
경기도,하남시,신장동,, 1, 1, 1, 1,10,오피스텔,있음,무료주차(여유),"300,000","100,000","70,000","330,000",5,104,0.048
서울특별시,마포구,상암동,, 1, 1, 1, 0,6,오피스텔,있음,유료주차,"290,000","50,000","40,000","330,000",47,104,0.452
서울특별시,종로구,부암동,, 1, 1, 1, 0,8,오피스텔,있음,불가능,"380,000","80,000","50,000","330,000",15,104,0.144
경기도,화성시,송동,, 1, 1, 0, 1,10,오피스텔,있음,유료주차,"380,000","85,000","20,000","330,000",72,104,0.692
대구광역시,수성구,두산동,, 1, 1, 1, 0,9,원룸건물,없음,무료주차(선착순),"230,000","20,000","20,000","330,000",0,104,0
서울특별시,노원구,상계동,, 2, 1, 1, 1,24,아파트,있음,무료주차(선착순),"470,000","60,000","50,000","330,000",102,104,0.981
서울특별시,마포구,서교동,, 1, 1, 1, 0,9,오피스텔,있음,유료주차,"450,000","50,000","50,000","330,000",32,104,0.308
부산광역시,수영구,광안동,, 1, 1, 1, 0,7,오피스텔,있음,유료주차,"290,000","80,000","30,000","330,000",20,104,0.192
경기도,수원시,팔달구,, 1, 1, 1, 1,6,오피스텔,있음,무료주차(여유),"230,000","50,000","50,000","330,000",27,104,0.26
서울특별시,성동구,성수동2가,, 1, 1, 1, 0,9,오피스텔,있음,유료주차,"300,000","50,000","50,000","330,000",40,104,0.385
경기도,김포시,고촌읍,, 1, 1, 1, 1,9,오피스텔,있음,무료주차(여유),"240,000","60,000","10,000","330,000",99,104,0.952
서울특별시,관악구,봉천동,, 3, 1, 1, 1,18,연립빌라,없음,유료주차,"300,000","50,000","40,000","330,000",13,104,0.125
서울특별시,중구,신당동,, 2, 1, 1, 1,12,연립빌라,있음,유료주차,"395,000","40,000",0,"330,000",62,104,0.596
경기도,용인시,수지구,상현동, 1, 1, 1, 0,7,오피스텔,있음,무료주차(여유),"300,000","60,000","80,000","330,000",61,104,0.587
경기도,용인시,수지구,상현동, 1, 1, 1, 0,7,오피스텔,있음,무료주차(여유),"300,000","60,000","80,000","330,000",70,104,0.673
서울특별시,동대문구,용두동,, 1, 1, 1, 0,9,오피스텔,있음,불가능,"280,000","100,000",0,"330,000",48,104,0.462
서울특별시,강남구,청담동,, 1, 1, 1, 0,8,오피스텔,있음,불가능,"330,000","100,000",0,"330,000",80,104,0.769
경기도,수원시,팔달구,, 1, 1, 0, 0,9,오피스텔,있음,유료주차,"280,000","50,000","50,000","330,000",36,104,0.346
서울특별시,은평구,불광동,, 2, 1, 1, 0,7,오피스텔,있음,무료주차(여유),"340,000","80,000","30,000","330,000",69,104,0.663
서울특별시,구로구,오류동,, 2, 1, 1, 1,12,오피스텔,있음,무료주차(여유),"320,000","80,000","50,000","330,000",57,104,0.548
서울특별시,강동구,성내동,, 3, 2, 1, 1,12,연립빌라,있음,무료주차(선착순),"800,000","100,000","100,000","330,000",104,104,1
서울특별시,서대문구,충정로2가,, 1, 1, 0, 0,8,오피스텔,있음,유료주차,"390,000","90,000","30,000","330,000",25,104,0.24
서울특별시,강동구,성내동,, 2, 1, 1, 1,11,복층연립빌라,있음,무료주차(선착순),"800,000","100,000","100,000","330,000",51,104,0.49
경기도,성남시,분당구,서현동, 1, 1, 1, 0,12,오피스텔,있음,무료주차(여유),"400,000","60,000","30,000","330,000",19,104,0.183
부산광역시,연제구,연산동,, 1, 1, 1, 0,6,원룸건물,있음,무료주차(선착순),"180,000","50,000","30,000","330,000",18,104,0.173
서울특별시,마포구,공덕동,, 1, 1, 1, 0,6,오피스텔,있음,무료주차(선착순),"330,000","60,000","40,000","330,000",17,104,0.163
경기도,안양시,동안구,평촌동, 1, 1, 0, 0,13,오피스텔,있음,무료주차(여유),"379,000","105,000","70,000","330,000",66,104,0.635
경기도,군포시,금정동,, 1, 1, 1, 1,7,오피스텔,있음,무료주차(선착순),"339,000","100,000","70,000","330,000",27,104,0.26
대전광역시,중구,대사동,, 1, 1, 1, 0,10,원룸건물,없음,무료주차(선착순),"139,000","35,000","35,000","330,000",26,104,0.25
서울특별시,은평구,진관동,, 1, 1, 1, 1,7,복층오피스텔,있음,무료주차(여유),"329,000","90,000","30,000","330,000",96,104,0.923
인천광역시,미추홀구,용현동,, 3, 2, 1, 1,21,오피스텔,있음,무료주차(여유),"390,000","60,000","100,000","330,000",104,104,1
전라남도,여수시,돌산읍,, 1, 1, 1, 1,13,복층오피스텔,있음,무료주차(선착순),"250,000","40,000",0,"330,000",15,104,0.144
충청남도,천안시,서북구,성정동, 1, 1, 1, 0,8,원룸건물,있음,무료주차(선착순),"145,000","40,000","30,000","330,000",31,104,0.298
서울특별시,은평구,불광동,, 2, 1, 1, 1,10,복층오피스텔,있음,무료주차(여유),"390,000","80,000","50,000","330,000",23,104,0.221
충청남도,천안시,동남구,쌍용동, 2, 1, 1, 1,16,아파트,없음,무료주차(선착순),"209,000","50,000","40,000","330,000",45,104,0.433
서울특별시,영등포구,양평동2가,, 1, 1, 1, 0,8,오피스텔,있음,불가능,"280,000","100,000",0,"330,000",60,104,0.577
충청남도,천안시,서북구,두정동, 1, 1, 0, 0,8,오피스텔,있음,무료주차(선착순),"240,000","35,000","30,000","330,000",73,104,0.702
서울특별시,강남구,청담동,, 1, 1, 1, 0,7,오피스텔,있음,불가능,"300,000","100,000",0,"330,000",56,104,0.538
대전광역시,중구,대사동,, 1, 1, 1, 0,10,원룸건물,없음,무료주차(선착순),"139,000","35,000","35,000","330,000",75,104,0.721
대전광역시,중구,대사동,, 1, 1, 1, 0,8,원룸건물,없음,무료주차(선착순),"115,000","35,000","35,000","330,000",65,104,0.625
대전광역시,중구,대사동,, 1, 1, 1, 0,10,원룸건물,없음,무료주차(선착순),"129,000","35,000","35,000","330,000",40,104,0.385
서울특별시,도봉구,창동,, 1, 1, 1, 1,10,오피스텔,있음,유료주차,"239,000","100,000","50,000","330,000",27,104,0.26
대전광역시,중구,대사동,, 1, 1, 1, 0,10,원룸건물,없음,무료주차(선착순),"139,000","35,000","35,000","330,000",10,104,0.096
서울특별시,금천구,가산동,, 1, 1, 1, 1,12,복층오피스텔,있음,유료주차,"300,000","60,000","60,000","330,000",86,104,0.827
경상남도,거제시,장승포동,, 3, 1, 1, 1,23,아파트,있음,무료주차(여유),"295,000","10,000","30,000","330,000",16,104,0.154
경기도,수원시,영통구,이의동, 1, 1, 1, 1,12,오피스텔,있음,무료주차(선착순),"390,000","130,000",0,"330,000",48,104,0.462
서울특별시,성북구,장위동,, 3, 1, 1, 1,13,연립빌라,있음,무료주차(여유),"450,000","50,000","100,000","330,000",33,104,0.317
서울특별시,마포구,도화동,, 1, 1, 0, 0,9,오피스텔,있음,무료주차(여유),"600,000","60,000","20,000","330,000",98,104,0.942
서울특별시,마포구,도화동,, 1, 1, 0, 0,8,오피스텔,있음,무료주차(여유),"470,000","50,000","20,000","330,000",19,104,0.183
부산광역시,부산진구,전포동,, 2, 1, 1, 1,12,단독주택,없음,무료주차(선착순),"250,000","50,000","50,000","330,000",7,104,0.067
경기도,화성시,반월동,, 1, 1, 1, 0,6,원룸건물,있음,무료주차(선착순),"100,000",0,"10,000","330,000",0,104,0
대전광역시,중구,대사동,, 1, 1, 1, 0,10,원룸건물,없음,무료주차(선착순),"119,000","35,000","35,000","330,000",49,104,0.471
서울특별시,성북구,장위동,, 2, 1, 1, 1,15,복층연립빌라,있음,무료주차(여유),"590,000","70,000","100,000","330,000",104,104,1
인천광역시,미추홀구,주안동,, 1, 1, 0, 0,6,오피스텔,있음,유료주차,"200,000","50,000","30,000","330,000",82,104,0.788
서울특별시,송파구,석촌동,, 1, 1, 1, 0,7,원룸건물,있음,유료주차,"350,000","80,000","85,000","330,000",28,104,0.269
서울특별시,관악구,신림동,, 1, 1, 0, 0,6,원룸건물,없음,유료주차,"100,000","35,000","50,000","330,000",16,104,0.154
서울특별시,구로구,구로동,, 1, 1, 0, 0,6,원룸건물,없음,불가능,"130,000","35,000","50,000","330,000",48,104,0.462
서울특별시,강동구,천호동,, 1, 1, 0, 0,8,복층오피스텔,있음,유료주차,"380,000","80,000","70,000","330,000",72,104,0.692
서울특별시,강동구,천호동,, 1, 1, 0, 0,7,복층오피스텔,있음,유료주차,"300,000","60,000","60,000","330,000",36,104,0.346
서울특별시,강동구,천호동,, 1, 1, 0, 0,7,복층오피스텔,있음,유료주차,"300,000","60,000","60,000","330,000",34,104,0.327
제주특별자치도,서귀포시,서귀동,, 1, 1, 0, 0,20,호텔,있음,무료주차(여유),"350,000","30,000","20,000","330,000",14,104,0.135
서울특별시,종로구,누하동,, 1, 1, 0, 0,8,원룸건물,있음,유료주차,"330,000","30,000","30,000","330,000",28,104,0.269
서울특별시,송파구,석촌동,, 1, 1, 1, 1,9,원룸건물,있음,유료주차,"350,000","80,000","85,000","330,000",96,104,0.923
서울특별시,구로구,구로동,, 1, 1, 0, 0,6,원룸건물,있음,유료주차,"160,000","30,000","50,000","330,000",20,104,0.192
서울특별시,강동구,천호동,, 1, 1, 0, 0,7,복층오피스텔,있음,유료주차,"300,000","60,000","60,000","330,000",40,104,0.385
서울특별시,구로구,구로동,, 1, 1, 0, 0,6,원룸건물,있음,유료주차,"150,000","30,000","50,000","330,000",6,104,0.058
서울특별시,송파구,석촌동,, 1, 1, 1, 1,7,원룸건물,있음,유료주차,"350,000","80,000","85,000","330,000",10,104,0.096
서울특별시,강동구,천호동,, 1, 1, 0, 0,7,복층오피스텔,있음,유료주차,"300,000","60,000","60,000","330,000",38,104,0.365
서울특별시,강동구,천호동,, 1, 1, 0, 0,7,복층오피스텔,있음,유료주차,"300,000","60,000","60,000","330,000",22,104,0.212
서울특별시,관악구,신림동,, 1, 1, 1, 1,10,복층오피스텔,있음,무료주차(여유),"450,000","80,000","50,000","330,000",17,104,0.163
서울특별시,성동구,성수동1가,, 2, 1, 1, 1,20,연립빌라,없음,무료주차(선착순),"590,000",0,"50,000","330,000",47,104,0.452
서울특별시,구로구,구로동,, 1, 1, 0, 0,6,원룸건물,있음,유료주차,"140,000","30,000","50,000","330,000",71,104,0.683
서울특별시,강동구,천호동,, 1, 1, 0, 0,7,복층오피스텔,있음,유료주차,"300,000","60,000","60,000","330,000",40,104,0.385
서울특별시,동작구,신대방동,, 1, 1, 0, 0,6,원룸건물,없음,불가능,"110,000","30,000","50,000","330,000",1,104,0.01
서울특별시,서초구,서초동,, 1, 1, 1, 0,8,오피스텔,있음,유료주차,"390,000","90,000","50,000","330,000",37,104,0.356
제주특별자치도,서귀포시,서귀동,, 1, 1, 0, 0,30,호텔,있음,무료주차(여유),"400,000","30,000","20,000","330,000",10,104,0.096
제주특별자치도,서귀포시,서귀동,, 1, 1, 0, 0,32,호텔,있음,무료주차(여유),"370,000","30,000","20,000","330,000",6,104,0.058
서울특별시,동작구,신대방동,, 1, 1, 0, 0,6,원룸건물,없음,불가능,"90,000","30,000","50,000","330,000",95,104,0.913
서울특별시,영등포구,신길동,, 1, 1, 0, 0,6,원룸건물,없음,불가능,"100,000","30,000","50,000","330,000",12,104,0.115
서울특별시,동작구,상도동,, 1, 1, 0, 0,6,원룸건물,있음,유료주차,"140,000","40,000","60,000","330,000",48,104,0.462
서울특별시,동작구,신대방동,, 1, 1, 0, 0,6,원룸건물,없음,불가능,"120,000","30,000","50,000","330,000",15,104,0.144
서울특별시,관악구,신림동,, 1, 1, 0, 0,5,원룸건물,없음,불가능,"135,000","30,000","50,000","330,000",34,104,0.327
서울특별시,송파구,석촌동,, 1, 1, 1, 1,9,원룸건물,있음,유료주차,"350,000","80,000","85,000","330,000",59,104,0.567
서울특별시,종로구,누하동,, 1, 1, 1, 0,8,원룸건물,있음,무료주차(선착순),"330,000","30,000","30,000","330,000",35,104,0.337
서울특별시,동작구,대방동,, 1, 1, 0, 0,6,원룸건물,없음,불가능,"80,000","40,000","50,000","330,000",35,104,0.337
서울특별시,영등포구,신길동,, 1, 1, 0, 0,5,원룸건물,없음,불가능,"100,000","30,000","60,000","330,000",35,104,0.337
서울특별시,구로구,구로동,, 1, 1, 0, 0,6,원룸건물,있음,유료주차,"160,000","30,000","50,000","330,000",81,104,0.779
서울특별시,영등포구,신길동,, 1, 1, 0, 0,5,원룸건물,없음,불가능,"90,000","30,000","50,000","330,000",6,104,0.058
서울특별시,영등포구,신길동,, 1, 1, 0, 0,5,원룸건물,없음,불가능,"100,000","30,000","60,000","330,000",30,104,0.288
서울특별시,관악구,신림동,, 1, 1, 0, 0,6,원룸건물,없음,불가능,"100,000","30,000","50,000","330,000",8,104,0.077
서울특별시,영등포구,신길동,, 1, 1, 0, 0,5,원룸건물,없음,불가능,"80,000","30,000","50,000","330,000",25,104,0.24
서울특별시,영등포구,당산동5가,, 1, 1, 1, 1,9,복층오피스텔,있음,유료주차,"400,000","70,000","50,000","330,000",64,104,0.615
경상북도,포항시,북구,죽도동, 1, 1, 1, 0,9,원룸건물,없음,무료주차(선착순),"150,000","20,000","20,000","330,000",7,104,0.067
서울특별시,영등포구,신길동,, 1, 1, 0, 0,6,원룸건물,없음,유료주차,"100,000","30,000","50,000","330,000",85,104,0.817
서울특별시,종로구,누하동,, 1, 1, 0, 0,10,원룸건물,있음,무료주차(선착순),"360,000","30,000","30,000","330,000",62,104,0.596
서울특별시,용산구,동자동,, 1, 1, 0, 0,8,오피스텔,있음,무료주차(여유),"380,000","90,000","100,000","330,000",43,104,0.413
경상북도,포항시,북구,죽도동, 1, 1, 1, 0,11,원룸건물,없음,무료주차(선착순),"160,000","30,000","30,000","330,000",14,104,0.135
서울특별시,동작구,신대방동,, 1, 1, 0, 0,6,원룸건물,없음,불가능,"110,000","30,000","60,000","330,000",4,104,0.038
서울특별시,금천구,가산동,, 1, 1, 1, 1,8,복층오피스텔,있음,유료주차,"300,000","60,000","60,000","330,000",104,104,1
서울특별시,영등포구,신길동,, 1, 1, 0, 0,4,원룸건물,없음,불가능,"90,000","30,000","50,000","330,000",34,104,0.327
서울특별시,동작구,본동,, 1, 1, 1, 1,5,원룸건물,없음,불가능,"110,000","30,000","50,000","330,000",63,104,0.606
서울특별시,영등포구,영등포동3가,, 2, 1, 1, 1,12,오피스텔,있음,무료주차(여유),"520,000","100,000","50,000","330,000",15,103,0.146
서울특별시,구로구,구로동,, 1, 1, 0, 0,7,원룸건물,있음,유료주차,"180,000","30,000","50,000","330,000",31,103,0.301
서울특별시,강동구,천호동,, 1, 1, 0, 0,7,복층오피스텔,있음,유료주차,"300,000","60,000","60,000","330,000",20,103,0.194
서울특별시,관악구,신림동,, 1, 1, 1, 1,7,원룸건물,없음,불가능,"100,000","40,000","50,000","330,000",69,103,0.67
서울특별시,관악구,신림동,, 1, 1, 0, 0,6,원룸건물,있음,불가능,"135,000","40,000","50,000","330,000",39,103,0.379
서울특별시,동작구,신대방동,, 1, 1, 0, 0,6,원룸건물,없음,불가능,"100,000","30,000","50,000","330,000",14,103,0.136
서울특별시,동작구,대방동,, 1, 1, 0, 0,5,원룸건물,없음,불가능,"80,000","40,000","60,000","330,000",67,103,0.65
서울특별시,구로구,구로동,, 1, 1, 0, 0,6,원룸건물,있음,유료주차,"160,000","30,000","50,000","330,000",21,103,0.204
서울특별시,구로구,구로동,, 1, 1, 0, 0,6,원룸건물,있음,불가능,"160,000","30,000","60,000","330,000",88,103,0.854
서울특별시,관악구,신림동,, 1, 1, 0, 0,6,원룸건물,없음,유료주차,"110,000","30,000","50,000","330,000",51,103,0.495
서울특별시,서대문구,창천동,, 1, 1, 0, 0,6,원룸건물,없음,불가능,"200,000","25,000","50,000","330,000",63,103,0.612
서울특별시,동작구,신대방동,, 1, 1, 0, 0,6,원룸건물,없음,불가능,"110,000","30,000","50,000","330,000",12,103,0.117
서울특별시,관악구,신림동,, 1, 1, 0, 0,6,원룸건물,없음,유료주차,"170,000","40,000","50,000","330,000",86,103,0.835
서울특별시,금천구,독산동,, 2, 1, 1, 1,14,연립빌라,있음,무료주차(여유),"500,000","100,000","50,000","330,000",52,103,0.505
서울특별시,영등포구,신길동,, 1, 1, 0, 0,6,원룸건물,없음,불가능,"130,000","30,000","50,000","330,000",28,103,0.272
서울특별시,구로구,구로동,, 1, 1, 0, 0,6,원룸건물,있음,불가능,"150,000","30,000","50,000","330,000",26,103,0.252
서울특별시,동작구,본동,, 1, 1, 1, 1,6,원룸건물,없음,불가능,"90,000","30,000","50,000","330,000",97,103,0.942
서울특별시,동작구,대방동,, 1, 1, 1, 1,6,원룸건물,없음,불가능,"90,000","45,000","50,000","330,000",32,103,0.311
서울특별시,용산구,동자동,, 1, 1, 0, 0,8,오피스텔,있음,무료주차(여유),"400,000","80,000","100,000","330,000",23,103,0.223
서울특별시,관악구,신림동,, 1, 1, 0, 0,6,원룸건물,없음,불가능,"100,000","30,000","50,000","330,000",42,103,0.408
서울특별시,관악구,신림동,, 1, 1, 0, 0,6,원룸건물,없음,유료주차,"110,000","35,000","50,000","330,000",81,103,0.786
서울특별시,구로구,구로동,, 1, 1, 0, 0,6,원룸건물,있음,유료주차,"150,000","30,000","50,000","330,000",59,103,0.573
서울특별시,관악구,신림동,, 1, 1, 0, 0,6,원룸건물,있음,불가능,"140,000","40,000","50,000","330,000",6,103,0.058
서울특별시,강서구,화곡동,, 1, 1, 1, 1,6,원룸건물,없음,불가능,"120,000","30,000","50,000","330,000",61,103,0.592
서울특별시,용산구,동자동,, 1, 1, 0, 0,8,오피스텔,있음,무료주차(여유),"380,000","90,000","100,000","330,000",0,103,0
서울특별시,용산구,동자동,, 1, 1, 0, 0,7,오피스텔,있음,무료주차(여유),"400,000","80,000","100,000","330,000",15,103,0.146
서울특별시,영등포구,당산동6가,, 1, 1, 0, 0,5,원룸건물,없음,불가능,"130,000","30,000","60,000","330,000",94,103,0.913
서울특별시,구로구,구로동,, 1, 1, 0, 0,7,원룸건물,있음,유료주차,"190,000","30,000","70,000","330,000",34,103,0.33
서울특별시,종로구,누하동,, 1, 1, 0, 0,9,원룸건물,있음,무료주차(선착순),"360,000","30,000","30,000","330,000",88,103,0.854
제주특별자치도,서귀포시,서귀동,, 1, 1, 0, 0,15,호텔,있음,무료주차(여유),"350,000","30,000","20,000","330,000",9,103,0.087
서울특별시,구로구,구로동,, 1, 1, 0, 0,6,원룸건물,있음,유료주차,"160,000","20,000","50,000","330,000",61,103,0.592
경상북도,포항시,북구,죽도동, 1, 1, 1, 0,9,원룸건물,없음,무료주차(선착순),"150,000","20,000","20,000","330,000",13,103,0.126
서울특별시,서초구,서초동,, 1, 1, 0, 1,11,오피스텔,있음,무료주차(선착순),"370,000","100,000","120,000","330,000",25,103,0.243
경기도,수원시,권선구,세류동, 1, 1, 1, 0,7,원룸건물,있음,무료주차(여유),"190,000","50,000","30,000","330,000",17,103,0.165
서울특별시,광진구,화양동,, 1, 1, 1, 0,8,단독주택,없음,불가능,"220,000","50,000","50,000","330,000",30,103,0.291
서울특별시,종로구,누하동,, 1, 1, 0, 0,9,원룸건물,있음,무료주차(선착순),"330,000","30,000","30,000","330,000",12,103,0.117
서울특별시,마포구,망원동,, 1, 1, 0, 0,6,원룸건물,없음,유료주차,"200,000","30,000","60,000","330,000",26,103,0.252
서울특별시,종로구,누하동,, 1, 1, 0, 0,10,원룸건물,있음,무료주차(선착순),"360,000","30,000","30,000","330,000",35,103,0.34
서울특별시,성북구,장위동,, 3, 2, 1, 1,14,연립빌라,있음,무료주차(여유),"650,000","60,000","100,000","330,000",103,103,1
서울특별시,강동구,성내동,, 2, 1, 1, 1,12,연립빌라,있음,무료주차(여유),"700,000","100,000","100,000","330,000",103,103,1
서울특별시,관악구,신림동,, 1, 1, 0, 0,6,원룸건물,없음,불가능,"130,000","30,000","50,000","330,000",72,103,0.699
서울특별시,영등포구,신길동,, 1, 1, 0, 0,6,원룸건물,없음,불가능,"130,000","30,000","50,000","330,000",103,103,1
서울특별시,종로구,누하동,, 1, 1, 0, 0,9,원룸건물,있음,무료주차(선착순),"360,000","30,000","30,000","330,000",28,103,0.272
서울특별시,성북구,장위동,, 3, 1, 1, 1,13,연립빌라,있음,무료주차(여유),"470,000","50,000","100,000","330,000",5,103,0.049
서울특별시,동작구,대방동,, 1, 1, 0, 0,5,원룸건물,없음,불가능,"130,000","40,000","50,000","330,000",41,103,0.398
서울특별시,영등포구,신길동,, 1, 1, 0, 0,6,원룸건물,없음,불가능,"110,000","30,000","50,000","330,000",103,103,1
서울특별시,강동구,성내동,, 2, 1, 1, 1,9,복층연립빌라,있음,무료주차(여유),"700,000","100,000","150,000","330,000",103,103,1
서울특별시,동작구,사당동,, 1, 1, 1, 0,6,원룸건물,없음,무료주차(선착순),"240,000","30,000","50,000","330,000",30,103,0.291
서울특별시,동작구,사당동,, 1, 1, 1, 0,5,원룸건물,없음,무료주차(선착순),"230,000","30,000","50,000","330,000",12,103,0.117
서울특별시,동작구,사당동,, 1, 1, 1, 0,6,원룸건물,없음,무료주차(선착순),"260,000","30,000","50,000","330,000",76,103,0.738
서울특별시,동작구,사당동,, 1, 1, 1, 0,6,원룸건물,없음,무료주차(선착순),"250,000","30,000","50,000","330,000",43,103,0.417
대전광역시,서구,탄방동,, 1, 1, 1, 1,7,복층오피스텔,있음,무료주차(선착순),"250,000","40,000","30,000","330,000",33,103,0.32
대전광역시,서구,둔산동,, 1, 1, 1, 0,7,아파트,있음,무료주차(선착순),"190,000","35,000","25,000","330,000",55,103,0.534
서울특별시,동작구,사당동,, 1, 1, 1, 0,6,원룸건물,없음,무료주차(선착순),"350,000","30,000","50,000","330,000",93,103,0.903
서울특별시,동작구,사당동,, 1, 1, 1, 0,6,원룸건물,없음,무료주차(선착순),"250,000","30,000","50,000","330,000",36,103,0.35
서울특별시,동작구,사당동,, 1, 1, 1, 0,6,원룸건물,없음,무료주차(선착순),"240,000","30,000","50,000","330,000",34,103,0.33
충청남도,서산시,해미면,, 1, 1, 1, 0,5,원룸건물,있음,무료주차(여유),"385,000","35,000",0,"330,000",100,103,0.971
대전광역시,대덕구,법동,, 3, 2, 1, 1,25,아파트,있음,무료주차(여유),"350,000","100,000",0,"330,000",24,103,0.233
서울특별시,종로구,숭인동,, 1, 1, 1, 1,8,오피스텔,있음,불가능,"360,000","80,000","50,000","330,000",0,103,0
경기도,화성시,송동,, 1, 1, 0, 0,9,복층오피스텔,있음,무료주차(여유),"270,000","70,000","50,000","330,000",8,103,0.078
경상북도,포항시,남구,, 1, 1, 1, 0,9,원룸건물,없음,무료주차(선착순),"210,000","50,000","11,000","330,000",0,103,0
서울특별시,용산구,동자동,, 1, 1, 1, 0,7,오피스텔,있음,유료주차,"380,000","90,000","50,000","330,000",76,103,0.738
서울특별시,영등포구,영등포동1가,, 1, 1, 1, 0,4,오피스텔,있음,유료주차,"250,000","50,000","50,000","330,000",5,103,0.049
서울특별시,중구,저동2가,, 1, 1, 1, 1,7,오피스텔,있음,유료주차,"290,000","90,000","50,000","330,000",45,103,0.437
서울특별시,서초구,서초동,, 1, 1, 1, 0,9,오피스텔,있음,유료주차,"395,000","39,000","40,000","330,000",54,103,0.524
경기도,안양시,만안구,안양동, 3, 2, 1, 1,25,오피스텔,있음,무료주차(여유),"630,000","100,000","100,000","330,000",84,103,0.816
서울특별시,강서구,화곡동,, 2, 1, 1, 1,9,아파트,있음,무료주차(선착순),"230,000","70,000",0,"330,000",4,103,0.039
서울특별시,강동구,성내동,, 1, 1, 1, 0,6,연립빌라,없음,무료주차(여유),"180,000","30,000","50,000","330,000",5,103,0.049
경기도,양주시,옥정동,, 2, 1, 1, 1,15,상가주택,있음,무료주차(선착순),"250,000","50,000","70,000","330,000",58,103,0.563
서울특별시,종로구,경운동,, 1, 1, 1, 1,8,오피스텔,있음,유료주차,"359,000","100,000","50,000","330,000",44,103,0.427
